UUID,Name,Location,Street Address,Suburb,State,Postcode,Telephone,Status,Latitude,Longitude,Create DateTime,Update DateTime
f2b074e5-e4e7-4506-9df1-1ef3d807ae9e,Anytime Fitness,Canberra,"Ground Level CCG House, 219 London Circuit",Canberra,ACT,2600,02 6230 4555,Open,,,,
79e82641-363f-4aab-8967-88a041c7cca2,Anytime Fitness,Casey,,Casey,ACT,,0448 611 761,Coming Soon,,,,
a584b368-e281-42e7-9a36-f8fef88bda0e,Anytime Fitness,Charnwood,26 Cartwright Street,Charnwood,ACT,2615,02 6259 1633,Open,,,,
f8b51deb-0898-460b-ac5d-831625380455,Anytime Fitness,Chisholm,1/68 Halley Street,Chisholm,ACT,2905,02 62922846,Open,,,,
8035b78e-b2e8-4427-b3af-917758780cba,Anytime Fitness,Dickson,"Level 1, 17 Woolley Street",Dickson,ACT,2602,02 6230 1333,Open,,,,
9e9985ca-a159-4af3-b3e9-847589d3a18c,Anytime Fitness,Fyshwick,"Level 1, 47 Newcastle Street",Fyshwick,ACT,2609,02 6280 6425,Open,,,,
61f3133c-3fb6-4c15-8e7e-18289ee69172,Anytime Fitness,Gungahlin,"33/46 Hibberson Street, Level 2, Coles Building, Corner Hibberson St & Gungahlin Place East",Gungahlin,ACT,2912,02 62415327,Open,,,,
48ca42da-7582-42cf-a443-9e1de434176e,Anytime Fitness,Jamison,15 Bowman Street,Jamison,ACT,2614,02 6162 2900,Open,,,,
f9833a6b-5c8c-4a77-aa55-8bf406504f0b,Anytime Fitness,Kingston,Unit 71 71 Giles Street,Kingston,ACT,2604,02 6295 9952,Open,,,,
f511ffd1-983a-462a-8d21-f182805448ee,Anytime Fitness,Lanyon,12 Sidney Nolan Street,Lanyon,ACT,2906,02 6284 7227,Open,,,,
7e3f5b20-ea51-462c-a504-28e226617476,Anytime Fitness,Tuggeranong,"Tuggeranong Hyperdome, Shop 1-008 House and Home Centre; Anketell Street",Tuggeranong,ACT,2900,02 62939620,Open,,,,
fceebad9-f709-4f89-b427-13838c787cb1,Anytime Fitness,Weston,8 Liardet Street,Weston,ACT,2611,02 6287 3707,Open,,,,
f0858ec1-bb48-4688-ba18-fedecc20915b,Anytime Fitness,Woden,101 Hindmarsh Drive,Woden,ACT,2606,02 6281 6258,Open,,,,
9a353913-1b38-4cf1-8450-ef423d2d10fc,Anytime Fitness,Albion Park,62 Terry Street,Albion Park,NSW,2527,0498 480 097,Open,,,,
5a290177-de67-4d41-acf0-2a70440af7f9,Anytime Fitness,Albury,1001 Waugh Rd,Albury,NSW,2640,02 6025 1811,Open,,,,
d383b22b-c09f-44ef-a015-55c702d9bafc,Anytime Fitness,Albury City,455 Kiewa Street,Albury City,NSW,2640,02 6041 4604,Open,,,,
33cd53dc-33f1-4d90-be80-55a9da9e4818,Anytime Fitness,Alexandria,222 Botany Road,Alexandria,NSW,2015,02 9310 1241,Open,,,,
f70e43de-cae6-4116-a971-78aa6a9e474b,Anytime Fitness,Armidale,Unit 2 / 182 Rusden Street,Armidale,NSW,2350,02 6772 8307,Open,,,,
01e2b6f9-cdd2-43b5-abdb-7ca903fa225a,Anytime Fitness,Ashfield,2 The Esplanade,Ashfield,NSW,2131, ,Open,,,,
a1571147-b44c-4f58-aa6a-82627754c3ef,Anytime Fitness,Auburn,"Auburn Central, Shop 29-32, Cnr Harrow & Queen Street",Auburn,NSW,2144,02 9643 5963,Open,,,,
278dfdc5-1e2c-447d-8f01-d95ef29b74f7,Anytime Fitness,Avalon,24 Avalon Parade,Avalon,NSW,2107,02 9918 4898,Open,,,,
3311c448-f296-4edd-a696-778304fa7b5d,Anytime Fitness,Ballina,"Shop 49, Ballina Fair Shopping Centre, Kerr Street",Ballina,NSW,2478,02 6681 6960,Open,,,,
538fa12d-6de4-45ab-a60a-44775ce4e499,Anytime Fitness,Balmain,91-95 Victoria Road,Balmain,NSW,2039,02 9555 2693,Open,,,,
552cdd9d-469b-4dce-b0b9-36b610f95918,Anytime Fitness,Bankstown,"Shops 8 - 9, The Appian Way",Bankstown,NSW,2190,02 9707 4588,Open,,,,
77661b83-f505-460a-8f33-3f63272b59b4,Anytime Fitness,Bass Hill,753 Hume Highway,Bass Hill,NSW,2197,0481 333 403,Open,,,,
ecfdfa2a-daa9-4f22-8f7f-070987c82b6c,Anytime Fitness,Batemans Bay,"Level 1, Corner of Princes Highway and Beach Road",Batemans Bay,NSW,2536,02 4472 9314,Open,,,,
4fae2f3d-2784-43bd-b207-54e8cfa5f7d5,Anytime Fitness,Bathurst,"241 George Street, (cnr George and Piper Streets)",Bathurst,NSW,2795,02 63322505,Open,,,,
428945f0-06e4-49a9-8dba-c583869575c8,Anytime Fitness,Baulkham Hills,21-23 Old Northern Road,Baulkham Hills,NSW,2153,02 9639 8584,Open,,,,
70868762-48a2-4d6f-8f4b-5411e7fd058e,Anytime Fitness,Belfield,1/35 Burwood Road,Belfield,NSW,2191,02 9642 1989,Open,,,,
e4bcb813-0f5c-439d-be5e-fd865d253a6a,Anytime Fitness,Belmont,438 Pacific Highway,Belmont,NSW,2280,02 4945 3175,Open,,,,
7df417ab-adcc-405f-b53a-d21e09c5df4f,Anytime Fitness,Berowra,25-29 Turner Road,Berowra,NSW,2082,02 9456 4975,Open,,,,
d4b2d7bb-350f-4c51-9950-aba01e02b25e,Anytime Fitness,Blacktown,"Blacktown Mega Centre, Shop C1, 14 St Martins Crescent",Blacktown,NSW,2148,02 9671 2800,Open,,,,
fdf228c1-611f-44ed-839a-7e2e70bdf81b,Anytime Fitness,Bondi Junction,100 Ebley Street,Bondi Junction,NSW,2022,02 9386 9350,Open,,,,
bc1f827b-186e-426b-99de-ca63f1807563,Anytime Fitness,Bonnyrigg,38/100 Bonnyrigg Avenue,Bonnyrigg,NSW,2177,02 9823 6450,Open,,,,
7c08421c-cebd-4c0e-a924-eeeffec4dea1,Anytime Fitness,Botany,1116 Botany Road,Botany,NSW,2019,02 9316 7985,Open,,,,
96864d59-397a-43ea-a2ba-08a92089310c,Anytime Fitness,Bowral,Shop C2 / 68-70 Station Street,Bowral,NSW,2576,02 4862 1874,Open,,,,
c77321b1-a404-40ea-b148-89a4874568d3,Anytime Fitness,Branxton,,Branxton,NSW,,,Coming Soon,,,,
74725181-a543-4a08-aa91-2dbe9ac24a60,Anytime Fitness,Broken Hill,357 Argent Street,Broken Hill,NSW,2880,08 8088 1702,Open,,,,
76b6c9a6-1a4d-45b2-979b-4039e1925ce8,Anytime Fitness,Brookvale,"2002/2004 Dale St, Warringah Mall",Brookvale,NSW,2100,02 9907 1171,Open,,,,
b105a973-b608-472a-b91b-c4e4322370c8,Anytime Fitness,Burwood,3 Railway Parade,Burwood,NSW,2134,02 9715 6204,Open,,,,
3aab78ad-8332-415f-ac03-039fdc6e021c,Anytime Fitness,Cabramatta,Unit 8/169-173 Hume Highway,Cabramatta,NSW,2166,02 9728 1080,Open,,,,
5c632eaa-2d31-462a-974a-c5744a783302,Anytime Fitness,Campbelltown,304 Queen Street,Campbelltown,NSW,2560,02 4620 7215,Open,,,,
6f68bc82-fd67-4c5a-83fc-4a3e85356f62,Anytime Fitness,Campsie,19 Claremont Street,Campsie,NSW,2194,02 9718 0147,Open,,,,
ba6ad82f-84bc-41d1-aac8-4c4b619c7c73,Anytime Fitness,Caringbah,329 Kingsway,Caringbah,NSW,2229,02 9524 1088,Open,,,,
9fe4e8b4-844c-4afd-b6e5-53482ba15ee5,Anytime Fitness,Carlingford,241-245 Pennant Hills Road,Carlingford,NSW,2118,02 9873 2700,Open,,,,
3a56211a-6727-47e8-94e8-09fff759ae59,Anytime Fitness,Castle Hill,"Unit 7, 10 Hudson Avenue",Castle Hill,NSW,2154,02 9659 9588,Open,,,,
11d99ccb-84c5-4e07-a88b-a867e43825d3,Anytime Fitness,Cessnock,Shop 7-205 Wollombi Rd,Cessnock,NSW,2325,02 49913534,Open,,,,
4001c7c5-57bc-479e-9a30-692ff01fb1d0,Anytime Fitness,Chatswood,"Level 2, 370 Victoria Avenue",Chatswood,NSW,2067,02 9411 7446,Open,,,,
82aba4c3-681c-4165-9af4-91d382211ebd,Anytime Fitness,Chullora,"4/165 Rookwood Road, Entry via Muir Road",Chullora,NSW,2199,02 9709 3322,Open,,,,
78e58f17-221d-4715-9f3b-d7f6b71f515a,Anytime Fitness,Cooma,108 Commissioner Street,Cooma,NSW,2630,02 64521522,Open,,,,
b20c721a-c33a-4048-9c75-3232d444c548,Anytime Fitness,Corrimal,417 Princes Highway,Corrimal,NSW,2518,02 4285 9883,Open,,,,
f3a5ff02-a65c-47b8-bca8-6986dfead8f5,Anytime Fitness,Dapto,"Shop 2, 29-31 Princes Highway",Dapto,NSW,2530,02 4260 8021,Open,,,,
