UUID,Name,Location,Street Address,Suburb,State,Postcode,Telephone,Status,Latitude,Longitude,Create DateTime,Update DateTime
4a5f7eff-1e86-4aad-a643-06983a709c1a,Fitness First,Canberra City,"Shop FG14, Canberra Centre, Bunda St",Canberra City,ACT,2608,02 6221 5901,Open,-35.279858,149.133713,,
d5548204-d565-4b5b-9986-f701385996c1,Fitness First,Deakin,81 Macgregor Street,Deakin,ACT,2600,02 6221 9601,Open,-35.315523,149.10763,,
8c90751a-fa61-43ba-82b6-905cac4eaf18,Fitness First,Erina Fair,"Erina Fair Shopping Centre, Karalta Rd",Erina,NSW,2250,02 4367 1001,Open,-33.437893,151.383648,,
a51733ce-7d40-4f65-bd5d-5854090d0682,Fitness First,Tuggerah,"Westfield Tuggerah, Shop 1156, 50 Wyong Road",Tuggerah,NSW,2259,02 4305 1801,Open,-33.30755,151.412276,,
4f599f9c-8ec2-49fe-a085-e29e38fa5af5,Fitness First,Darlinghurst,63 Oxford Street,Darlinghurst,NSW,2000,02 8116 4201,Open,-33.878575,151.214072,,
050c9c42-6958-494e-813c-20ce569ad14c,Fitness First,Kings Cross,"Level 8, Kingsgate Building, 82-94 Darlinghurst Rd",Potts Point,NSW,2011,02 8114 3600,Open,-33.87521,151.222551,,
0b4b9944-3606-48fb-b1a8-3cdf5ef118b3,Fitness First,Newtown,"Shop 7, 330 King St",Newtown,NSW,2042,02 8064 5900,Open,-33.898133,151.178471,,
054140c6-2758-43ca-b9c0-2e81aa4ac73f,Fitness First,Sydney CBD - Bond Street,20 Bond St,Sydney,NSW,2000,02 8215 0201,Open,-33.8644537,151.2083024,,
4d347fea-9e93-4186-9563-4c3ac3f05ab6,Fitness First,Sydney CBD - George St Platinum,Suncorp Place: 259 George St,Sydney,NSW,2000,02 8669 6300,Open,-33.863885,151.207051,,
a4186b6e-e502-4dd6-bbb2-b80b71778f70,Fitness First,Sydney CBD - Market Street,"Allianz Building, 2 Market St (Cnr Sussex St)",Sydney,NSW,2000,02 8117 3300,Open,-33.870825,151.204695,,
13c2af81-1414-4259-a790-50a8bb48c1cc,Fitness First,Sydney CBD - Park Street Platinum,"Podium 1 & 2, The Galeries Victoria, 2 Park St",Sydney,NSW,2000,02 8263 3001,Open,-33.872954,151.207194,,
6bacbbe6-40a4-47c6-be9e-013cb6b68a77,Fitness First,Sydney CBD - The Zone Platinum (King St),94 King Street,Sydney,NSW,2000,02 9225 3900,Open,-33.868889,151.208304,,
42a4cf36-ae29-4e91-a4f9-546eadeec3f0,Fitness First,Bondi Platinum,"Level 6, Bondi Junction Westfield",Bondi Junction,NSW,2022,02 9021 4500,Open,-33.892324,151.24733,,
42380b8b-60ef-422c-9d7f-7588366ff624,Fitness First,Bondi Spring St Platinum,110 Spring St,Bondi Junction,NSW,2022,02 8383 5801,Open,-33.892363,151.249246,,
260b19a1-a8f7-46e4-aca1-657f6c61a1da,Fitness First,Maroubra,"Level 1, Pacific Square Shopping Centre, 737 Anzac Parade",Maroubra,NSW,2035,02 8669 0200,Open,-33.941064,151.238995,,
2d68bdac-96bd-4184-bf55-d2f8890ed7cc,Fitness First,Randwick,"Royal Randwick Shopping Centre, 73 Belmore Rd",Randwick,NSW,2031,02 8383 7100,Open,-33.914856,151.241076,,
bf027b91-46b6-43ce-b758-ab318f2db028,Fitness First,Chatswood,24 Endeavour St,Chatswood,NSW,2067,02 8117 2601,Open,-33.795796,151.182188,,
f45ae203-6988-4240-a827-b68158a7785e,Fitness First,Mosman Platinum,555 Military Rd,Mosman,NSW,2088,02 8969 3700,Open,-33.824493,151.240251,,
59c376ef-d6bc-43c7-b70e-4c379b23e409,Fitness First,North Sydney - Elizabeth Plaza,1 Elizabeth Plaza,North Sydney,NSW,2060,02 9640 1550,Open,-33.839031,151.207516,,
06f994bf-2bec-43a6-a07a-bec867a71756,Fitness First,North Sydney - Walker St,100 Walker St,North Sydney,NSW,2060,02 9921 3201,Open,-33.8385408,151.2089042,,
ee148e65-09da-4a27-af08-a25c2d585f18,Fitness First,St Leonards,55 Christie St,St Leonards,NSW,2065,02 8437 8101,Open,-33.8248209,151.1959934,,
