UUID,Name,Location,Street Address,Suburb,State,Postcode,Telephone,Status,Latitude,Longitude,Create DateTime,Update DateTime
9f3b2e60-62fb-4efd-9ca5-012fc848a965,Goodlife,Menai,"Level 1, Menai Central Shopping Centre, Cnr Old Illawarra Rd & Menai Rd",Menai,NSW,2234,02 8525 5755,Open,,,,
5b043cc4-a2df-4e3d-870f-4068ac7bf827,Goodlife,Parramatta,"Level 6, Westfield Parramatta, 159_175 Church St",Parramatta,NSW,2150,02 9891 7000,Open,,,,
c95fd7e7-aae0-4b95-bf0b-018a8cce311a,Goodlife,Shelley Street,1 Shelley St,Sydney,NSW,2000,02 9299 1530,Open,,,,
c5bcb143-acc0-4b7f-94dd-8f94b01f6ee0,Goodlife,Martin Place,"Level 4, 1 Martin Pl",Sydney,NSW,2000,02 9232 1500,Open,,,,
ef6d728e-afc6-433f-865b-259f520eaeba,Goodlife,103 Edward St,103 Edward St,Brisbane,QLD,4000,07 3229 0422,Open,,,,
a3264ef8-baa4-4e13-8361-cd9c3f459c68,Goodlife,Alex Hills,4 - 10 Windemere Rd,Alexandra Hills,QLD,4161,07 3820 1888,Open,,,,
2d9848ad-5798-422e-9ab3-c70ccce1e088,Goodlife,Ashgrove,240 Waterworks Rd,Ashgrove,QLD,4060,07 3366 7706,Open,,,,
9ebd788a-a0b0-49f3-8e20-08576b4db9f9,Goodlife,Bardon,92 Coolibah St,Bardon,QLD,4065,07 3366 3511,Open,,,,
aff47a8e-e29b-4bf0-8b5b-bfd0f7fd97c3,Goodlife,Caloundra,54 Caloundra Rd,Caloundra,QLD,4551,07 5413 4600,Open,,,,
f33c40fa-3068-4878-a3a7-174d09412ce5,Goodlife,Carseldine,16 Graham Rd,Carseldine,QLD,4034,07 3263 9333,Open,,,,
d48b0145-5214-415f-b06f-7d8ab2ef3369,Goodlife,Chermside,"Westfield Shopping Centre, Cnr Gympie & Hamilton Rd",Chermside,QLD,4032,07 3326 5555,Open,,,,
c8c5573d-109c-4265-906f-a6ffabfa515f,Goodlife,Cleveland,Cnr Shore St & Wellington St,Cleveland,QLD,4163,07 3401 9300,Open,,,,
