UUID,Name,Location,Street Address,Suburb,State,Postcode,Telephone,Status,Latitude,Longitude,Create DateTime,Update DateTime
a7b3943c-7a1e-4a39-911b-b19209a0f8bd,Jetts,Tuggeranong,"Shops 17-18 Homeworld Shopping Centre,  150-180 Soward Way",Tuggeranong,ACT,2900,02 6293 3778,Open,-35.4177602,149.068798,,
520ea14f-b9f3-4516-a209-4a7de389bc75,Jetts,Albury,"Shop 1,  617-621 Young St",Albury,NSW,2640,02 6021 3337,Open,-36.075702,146.924663,,
28fb5ad1-276c-49e7-901b-096492421e36,Jetts,Alexandria,"Shop 1, Ground Floor,  540 Botany Rd",Alexandria,NSW,2015,02 9669 3842,Open,-33.914649,151.200577,,
3850e34d-6533-4615-b70c-ea760b376f65,Jetts,Ashfield,2A Brown Street,Ashfield,NSW,2131,02 9797 6777,Open,-33.8879747,151.1254551,,
a71f83e1-1902-4331-afe6-be5080ce3cf7,Jetts,Ballina,"Shop 19, Ballina Central Shopping Centre,  44 Bangalow Rd",Ballina,NSW,2478,02 6681 4900,Open,-28.859274,153.564532,,
ed1258e6-16bf-4c60-9e0f-3fc23c7b400c,Jetts,Cardiff,"Shop 5,  49 - 53 Harrison Street",Cardiff,NSW,2285,02 4953 6903,Open,-32.940924,151.65954,,
1451a645-b97b-491c-85ed-0b1b90c62b3a,Jetts,Castle Hill,"Shops 12 & 13,  7-13 Victoria Avenue",Castle Hill,NSW,2154,02 8850 1893,Open,-33.73382,150.98073,,
fd730aa7-35da-44ca-96cc-35cec141616d,Jetts,Dapto,160-162 Princes Highway,Dapto,NSW,2530,02 4262 7867,Open,-34.496347,150.791925,,
8aa296f1-281f-4548-8e60-4bb1103ac023,Jetts,Figtree,"Shop PAD 1 Westfield Figtree,  Cnr Princes Highway & The Avenue",Figtree,NSW,2525,02 4225 8788,Open,-34.4319396,150.8434913,,
a48300a7-737d-4f07-88a8-0dd4aab4f2b2,Jetts,Forestville,39 The Centre,Forestville,NSW,2087,02 9451 4735,Open,-33.7622443,151.2164563,,
106b2132-a045-4844-a3ce-61e747a2f05d,Jetts,Grafton,"Shop BG2A Grafton Shopping World,  52 - 74 Fitzroy Street",Grafton,NSW,2460,02 6619 5299,Open,-29.692613,152.935673,,
b7c04d23-9b83-41b5-a810-0fb8fb7b2dd5,Jetts,Gregory Hills,2 Holborn Circuit,Gregory Hills,NSW,2557,02 4647 7333,Open,-34.024447,150.7707482,,
