UUID,Name,Location,Street Address,Suburb,State,Postcode,Telephone,Status,Latitude,Longitude,Create DateTime,Update DateTime
b227a840-c212-4fbc-9f5f-96bdb4d1f39f,Plus Fitness,Alexander Heights,"Shop 56, 200 Mirrabooka Ave",Alexander Heights,WA,6064,0411 067 362,Open,,,,
1defba14-0900-465f-aa21-6c2f3dbc301b,Plus Fitness,Alexandria,Part suite G.02/90-96 Bourke Rd,Alexandria,NSW,2015,02 9690 0093,Open,,,,
b8d3ddc3-2b43-40e2-ba90-22726a080c6f,Plus Fitness,Alkimos,,Alkimos,WA,6038,1300 GYM 247,Coming Soon,,,,
50a588d5-38e1-43d7-a480-f808f1f4478f,Plus Fitness,Annangrove,231 Annangrove Rd,Annangove,NSW,2156,02 9679 1900,Open,,,,
6157c24a-39e7-4cc0-b5b0-970f957dfdf7,Plus Fitness,Arndell Park,B1/2 69 Holbeche Rd,Arndell Park,NSW,2148,02 9622 1818,Open,,,,
c6a2e6fd-9f4d-4a98-8f58-5a066dee033c,Plus Fitness,Artarmon,"Level 1, 2A Broughton Rd",Artarmon,NSW,2064,02 9411 4177,Open,,,,
351c390f-c92a-4392-9b1a-22bce01c1253,Plus Fitness,Balcatta,126 Erindale Road,Balcatta,WA,6021,08 9240 5500,Open,,,,
c40c4e01-ec93-4980-abb6-15da03348a6a,Plus Fitness,Baldivis,"Lot 26 Safety Bay Road, Stockland Baldivis Shopping Centre",Baldivis,WA,6171,08 9524 2700,Open,,,,
a053ec0d-bb05-473a-a929-a803a4c6962f,Plus Fitness,Balgowlah,206 Condamine St,Balgowlah,NSW,2093,02 9907 7166,Open,,,,
338dd2d4-fd1e-4350-872a-062200d6fea8,Plus Fitness,Banksia Grove,,Banksia Grove,WA,6031,1300 GYM 247,Coming Soon,,,,
0177d544-59ad-45bd-8494-e9c71b431352,Plus Fitness,Bayswater VIC,Shop 11 / 7-13 High St,Bayswater,VIC,3153,03 9720 7411,Open,,,,
787a84f5-8711-4ac1-bc87-a6f37cbfd731,Plus Fitness,Bayswater WA,3/68 Beechboro Rd South,Bayswater,WA,6053,08 9271 8755,Open,,,,
7a6139e3-8c27-4d5f-bb9b-83b7d26007e9,Plus Fitness,Beerwah,Shop 16-17 30/44 Simpson Street Beerwah Village,Beerwah,QLD,4519,07 5439 0100,Open,,,,
0d441f12-f0c2-4e61-90c5-637928cab3ab,Plus Fitness,Bella Vista,G.01 / 29-31 Lexington Drive,Bella Vista,NSW,2153,02 8882 9288,Open,,,,
