UUID,Name,Location,Street Address,Suburb,State,Postcode,Telephone,Status,Latitude,Longitude,Create DateTime,Update DateTime
36b69f57-d7c6-40a1-894e-a965035d0132,Snap Fitness,Charnwood,"Units 6&7, 6 Charnwood Place",Charnwood, ACT,2615,0408 776 513,Open,,,,
a7fe301a-e45c-4dfa-b527-4c04937d4312,Snap Fitness,Conder,17-21 Sidney Nolan Street,Conder, ACT,2906,0435 883 983,Open,,,,
9ef4cc83-649a-49fc-92a8-d2a072127cb7,Snap Fitness,Fortitude Valley,,, ,,,Coming Soon,,,,
132be926-d598-48a5-a1e6-cade2dbcd28e,Snap Fitness,Fyshwick,Unit 9 / 17 Iron Knob Street,Fyshwick, ACT,2609,Manager: 0421 801 707 TEXT ONLY,Open,,,,
19032a50-478e-4e17-8210-e83bb00417c7,Snap Fitness,Kambah,9 Jenke Circuit (opposite Iga),Kambah, ACT,2902,02 62964247 or 0402402374,Open,,,,
31addf13-a820-4b4d-99ad-57bd4db3f819,Snap Fitness,Richmond,,, ,,,Coming Soon,,,,
91d055ff-7ffe-4609-aef4-3d1b930a1b0d,Snap Fitness,Bathurst,91 Keppel St,Bathurst, NSW,2795,0431 770 321,Open,,,,
a49d5d4c-f6e9-4edb-91e8-35d91c9b81bc,Snap Fitness,Bondi Junction,"Shop 9 310, 330 Oxford Street",Bondi Junction, NSW,2022,0402 269 170,Open,,,,
0b4f36a1-6119-404d-b9f2-bbada59a5a41,Snap Fitness,Canterbury,"Shop 7/8, 1 Cooks Avenue",Canterbury, NSW,2193,0402 755 320,Open,,,,
5e4b8b83-1344-4408-9b08-b522637247b9,Snap Fitness,Castle Hill,"Shop 126 2-16 Terminus St, Castle Hill",Castle Hill, NSW,2154,0478 77 7627SNAP,Open,,,,
4ea0e627-3335-4c16-8547-d4871d1a9a9b,Snap Fitness,Cessnock,2 North Avenue,Cessnock, NSW,2325,0448 948 944,Open,,,,
d2e914c7-0b26-4259-89f0-5f319b9a0b98,Snap Fitness,Double Bay,"Shop 4, 33 Cross Street",Double Bay, NSW,2028,0421 888 358,Open,,,,
920bbe89-efe7-498b-ac1f-cd185c4ec51d,Snap Fitness,Dubbo,113 Darling St (next To Village Bakery Cafe),Dubbo, NSW,2830,0418 161 056,Open,,,,
8a6904f8-8412-407e-9253-5707f1782525,Snap Fitness,Fairfield,"'fairfield Forum', Level 1",Fairfield, NSW,2165,0435 841 880,Open,,,,
e1f7c296-e5fe-4108-bcd6-21f158c91ab6,Snap Fitness,Gosford,131 Henry Parry Drive,Gosford, NSW,2250,0488 887 627 or 43248870,Open,,,,
14c75960-bb49-4617-bc2b-9e2c012f64ce,Snap Fitness,Kensington,113-115 Anzac Parade Kensington,Sydney, NSW,2033,0431 492 180,Open,,,,
45030704-6611-44d9-9c1d-5467e4c6e3bf,Snap Fitness,Kogarah,35/232-246 Railway Parade,Kogarah, NSW,2217,0448 144 108,Open,,,,
688d2f3d-bdb8-431b-8fb1-ab0dc76bbab6,Snap Fitness,Lismore,"Lismore Square, Diadem Street",Lismore, NSW,2480,0432 522 504,Open,,,,
1132c7d7-fbb4-4e49-a582-c8f53ce878fc,Snap Fitness,Maitland,25 Mitchell Drive,Maitland, NSW,2323,0421 247 247,Open,,,,
22789396-30c2-421f-9592-70d76cb22fd4,Snap Fitness,Maroubra,165-167 Maroubra Road,Maroubra, NSW,2035,0488 89 SNAP 7627,Open,,,,
1983e6bf-d9ae-4145-8c8a-5741da3676d2,Snap Fitness,Narellan,Unit 3-6 George Hunter Drive,Narellan, NSW,2567,0490 135 420,Open,,,,
7f21d6f0-1d0d-4123-bf08-ae1e185e577f,Snap Fitness,Orange,Cnr Kite Street & Lords Place,Orange, NSW,2800,0459 628 222,Open,,,,
5abae2be-9b4b-4efa-b1da-434b2e9a240c,Snap Fitness,Paddington,387-389 Oxford St,Paddington, NSW,2021,0423 079 560,Open,,,,
140bd16a-e9a9-42e1-9c54-c80e9e6d3579,Snap Fitness,Petersham,"Shop 1, The Majestic",Petersham Sydney, NSW,2049,0433 764 556,Open,,,,
d823b67e-25b9-4d93-8f5f-c2ef3fb02d1d,Snap Fitness,Potts Point,70/46a Macleay St,Potts Point, NSW,2011,0401 199 294,Open,,,,
